year_built,tax_assessment,finished_sq_ft,bathroom_count,bedroom_count,total_room_count,last_sold_price,zestimate_amount,valuation_low,valuation_high,percentile,page_view_count,image_count
80,509852.0,1771,2.0,4.0,8.0,620000,634850,603108,666592,71,2603,1
20,454000.0,2319,2.0,4.0,9.0,689000,739485,643352,835618,40,812,31
40,360689.0,1485,2.0,3.0,10.0,721000,742756,705618,779894,31,1657,21
40,288470.0,2440,2.0,4.0,9.0,1500000,1480270,1347046,1746719,51,1516,0
60,511615.0,1023,1.0,2.0,6.0,779000,751601,691473,796697,26,1559,0
40,677590.0,1677,2.0,3.0,8.0,1100000,1153676,1026772,1222897,32,935,0
80,269080.0,1571,3.0,2.0,2.0,400000,492718,413883,556771,67,1203,1
40,1426340.0,4107,3.5,4.0,7.0,4375000,7175755,4377211,10620117,97,6542,0
80,550104.0,2429,2.5,4.0,9.0,2350000,2201514,1981363,2355620,57,2655,5
80,496966.0,2425,3.0,4.0,8.0,875000,885120,840864,929376,70,2079,0
40,346440.0,1890,1.0,4.0,8.0,359500,449537,418069,498986,70,77,1
80,838200.0,2003,2.0,4.0,9.0,985000,1004093,913725,1084420,78,1575,29
60,402266.0,3225,4.0,5.0,10.0,1772500,1800718,1638653,1962783,80,1853,50
80,1009140.0,2673,3.0,5.0,10.0,1426000,1298453,1129654,1428298,85,1721,5
60,55681.0,897,1.0,2.0,5.0,1332000,1071283,932016,1178411,28,2325,0
100,1046700.0,3868,6.0,6.0,11.0,2500000,2461674,2117040,2707841,95,3944,21
100,461358.0,1760,3.0,3.0,7.0,725000,696871,655059,766558,62,1657,15
40,691000.0,2474,3.0,6.0,10.0,690000,683464,649291,758645,64,1156,0
80,486100.0,1248,3.0,3.0,6.0,605000,572762,538396,624311,7,2077,78
60,79880.0,1450,2.0,3.0,6.0,650000,677652,630216,731864,41,1550,73
80,167000.0,1650,2.0,4.0,11.0,251000,261020,237528,281902,47,4790,19
100,1062000.0,3338,4.0,5.0,11.0,1250000,1383446,1300439,1466453,90,2104,50
60,397442.0,874,1.0,2.0,5.0,681000,671705,611252,732158,40,677,5
80,403759.0,1376,2.0,3.0,7.0,643500,674506,620546,741957,37,3388,7
80,243112.0,1368,2.0,3.0,7.0,720000,685401,637423,719671,48,1526,76
60,63745.0,967,2.0,3.0,5.0,830000,865527,727043,995356,18,2686,0
40,437564.0,2060,3.0,4.0,8.0,770000,845257,794542,921330,47,6348,0
20,337480.0,1100,2.0,2.0,4.0,520000,496577,466782,526372,36,21110,1
60,97518.0,2246,2.5,4.0,8.0,1199000,1196520,1076868,1268311,79,1194,5
80,639000.0,1652,2.0,4.0,7.0,806000,777115,738259,815971,43,2433,0
60,954006.0,2696,2.5,4.0,9.0,2250000,1957494,1781320,2153243,34,1503,24
40,303246.0,2550,3.0,3.0,11.0,2050000,2780963,1529530,4088016,38,2696,1
80,109998.0,2039,2.5,6.0,10.0,1700000,1441763,1369675,1557104,46,3102,19
80,92638.0,1625,2.0,4.0,9.0,1020000,1094018,1039317,1148719,68,2187,5
100,829175.0,2923,3.0,4.0,4.0,2650000,2509510,2208369,2760461,74,1288,0
